window,vault_id,min,percentile25,percentile50,percentile75,max,count,latency,throughput
1719670446000,1090,333.000000,49421.953125,49447.000000,49455.140625,74326.000000,367,2000,5954.000000
1719670446000,1091,314.000000,49142.000000,49146.000000,49150.700000,61178.000000,369,2000,5954.000000
1719670446000,1092,502.000000,48858.160000,48864.000000,48868.160000,60002.000000,398,2000,5954.000000
1719670446000,1093,215.000000,48494.870000,48500.347222,48505.560000,48514.000000,409,2000,5954.000000
1719670446000,1094,8207.000000,16598.810000,17781.458333,21518.110000,44624.000000,395,2000,5954.000000
1719670446000,1095,3876.000000,16507.880000,18136.666667,22355.800000,45442.000000,395,2000,5954.000000
1719670446000,1096,8064.000000,47051.680000,47056.720000,47063.520000,69680.000000,382,2000,5954.000000
1719670446000,1097,78.000000,18312.156250,21198.200000,23043.093750,77804.000000,358,2000,5954.000000
1719670446000,1098,4021.000000,17695.391667,20631.680000,23011.250000,47505.000000,373,2000,5954.000000
1719670446000,1099,725.000000,15037.000000,17981.480000,22721.312500,69102.000000,364,2000,5954.000000
1719670446000,1100,5187.000000,18716.250000,20498.500000,23663.875000,72014.000000,352,2000,5954.000000
1719670446000,1101,356.000000,15621.980000,18201.500000,22277.100000,45754.000000,376,2000,5954.000000
1719670446000,1102,2773.000000,17953.340000,21760.472222,23585.660000,71085.000000,404,2000,5954.000000
1719670446000,1103,1283.000000,14362.600000,18042.388889,21092.080000,45518.000000,390,2000,5954.000000
1719670446000,1104,111.000000,14788.560000,17490.600000,21584.360000,45042.000000,382,2000,5954.000000
1719670446000,1105,3061.000000,17395.100000,19511.430556,22287.960000,43243.000000,399,2000,5954.000000
1719670446000,1106,6560.000000,16489.533333,18357.060000,21020.960000,76511.000000,372,2000,5954.000000
1719670446000,1107,558.000000,16268.640000,17680.416667,22266.060000,42896.000000,401,2000,5954.000000
1719670446000,1108,696.000000,16796.800000,19218.666667,22888.360000,41573.000000,384,2000,5954.000000
1719670446000,1109,95.000000,16910.180000,19382.333333,21713.500000,84375.000000,392,2000,5954.000000
1719670446000,1110,267.000000,17223.970000,18659.569444,22581.590000,69759.000000,403,2000,5954.000000
1719670446000,1111,570.000000,39380.820000,39398.750000,39406.540000,39417.000000,388,2000,5954.000000
1719670446000,1112,142.000000,17253.410000,18663.319444,22620.090000,39065.000000,403,2000,5954.000000
1719670446000,1113,80.000000,38440.000000,38448.680000,38460.208333,42718.000000,371,2000,5954.000000
1719670446000,1114,1660.000000,17534.125000,18721.460000,21263.281250,81516.000000,362,2000,5954.000000
1719670446000,1115,602.000000,14966.670000,17036.160000,21351.760000,38060.000000,379,2000,5954.000000
1719670446000,1116,723.000000,15408.740000,17378.875000,19742.370000,49658.000000,405,2000,5954.000000
1719670446000,1117,125.000000,17967.250000,20379.980000,22200.500000,37638.000000,368,2000,5954.000000
1719670446000,1118,127.000000,37502.000000,37507.000000,37510.570000,37526.000000,383,2000,5954.000000
1719670446000,1119,253.000000,17429.600000,19152.500000,22386.520000,36788.000000,410,2000,5954.000000
1719670446000,1120,94.000000,35992.311111,35997.400000,36001.377778,36008.000000,374,2000,5954.000000
1719670448000,1090,111.000000,49428.890625,49448.187500,49455.515625,75989.000000,309,2000,4612.500000
1719670448000,1091,139.000000,49141.562500,49146.437500,49151.000000,53076.000000,306,2000,4612.500000
1719670448000,1092,0.000000,48858.055556,48863.000000,48867.000000,49062.000000,287,2000,4612.500000
1719670448000,1093,219.000000,48496.125000,48501.000000,48506.000000,48514.000000,300,2000,4612.500000
1719670448000,1094,519.000000,16434.333333,17867.000000,20929.111111,44613.000000,274,2000,4612.500000
1719670448000,1095,1792.000000,16548.166667,18662.687500,22355.472222,45174.000000,289,2000,4612.500000
1719670448000,1096,47.000000,47051.000000,47056.875000,47063.000000,69690.000000,286,2000,4612.500000
1719670448000,1097,206.000000,18203.312500,21098.040000,22733.281250,75575.000000,325,2000,4612.500000
1719670448000,1098,5451.000000,17692.812500,21184.656250,22971.218750,29168.000000,315,2000,4612.500000
1719670448000,1099,428.000000,14955.000000,17921.000000,22361.750000,76005.000000,304,2000,4612.500000
1719670448000,1100,2823.000000,18410.000000,20493.500000,23733.750000,61763.000000,304,2000,4612.500000
1719670448000,1101,1891.000000,15687.166667,18754.156250,22648.027778,45747.000000,283,2000,4612.500000
1719670448000,1102,3131.000000,17223.250000,19534.000000,23520.093750,65917.000000,314,2000,4612.500000
